provider,display_name,auth_method,encryption,test_url,prod_url,test_merchant_id,test_hash_key,test_hash_iv,content_type,features,market_share,api_style
ecpay,綠界科技 ECPay,SHA256,URL Encode + SHA256,https://payment-stage.ecpay.com.tw/Cashier/AioCheckOut/V5,https://payment.ecpay.com.tw/Cashier/AioCheckOut/V5,3002607,pwFHCqoQZGmho4w6,EkRm7iFT261dpevs,application/x-www-form-urlencoded,完整文檔 | SDK 支援 | 高穩定性 | 多元支付 | 市佔率最高,high,Form POST
newebpay,藍新金流 NewebPay,AES-256-CBC + SHA256,AES-CBC 雙層加密,https://ccore.newebpay.com/MPG/mpg_gateway,https://core.newebpay.com/MPG/mpg_gateway,請至後台申請,請至後台申請,請至後台申請,application/x-www-form-urlencoded,MPG整合 | 信用卡記憶 | 多元支付 | 雙層加密,high,Form POST + AES
payuni,統一金流 PAYUNi,AES-256-GCM + SHA256,AES-GCM 加密,https://sandbox-api.payuni.com.tw/api/upp,https://api.payuni.com.tw/api/upp,請至後台申請,請至後台申請,請至後台申請,application/json,統一集團 | AES-GCM加密 | JSON API | RESTful,medium,RESTful JSON
smilepay,速買配 SmilePay,Verify_key + Mid_smilepay,共享密鑰 + 加權檢核碼,https://ssl.smse.com.tw/api,https://ssl.smse.com.tw/api,1111,174A02F97A95F72CE301137B3F98D128,,application/x-www-form-urlencoded,台灣老牌 | 簡單便宜 | 7種付款 | XML回應 | BIG-5部分,medium,Form POST + XML
pchomepay,拍錢包 PChomePay,Basic Auth -> pcpay-token,Token 雙階段認證,https://sandbox-api.pchomepay.com.tw,https://api.pchomepay.com.tw,請至後台申請,請至後台申請,,application/json,PChome 生態 | P 幣回饋 | 金物流二合一 | RESTful | notify IP 113.196.231.190,medium,RESTful JSON
ezpay,ezPay 簡單付,AES-256-CBC + SHA256,同 NewebPay MPG,https://ccore.spgateway.com/MPG/mpg_gateway,https://core.spgateway.com/MPG/mpg_gateway,請至後台申請,請至後台申請,請至後台申請,application/x-www-form-urlencoded,藍新小型商家品牌 | 同 NewebPay 加密 | 跨境 | 智冠系,small,Form POST + AES
paynow,立吉富 PayNow,JWT Bearer (現代) / 動態 AES-256 (傳統),JWT 或 GP/GK 動態金鑰,https://test.paynow.com.tw/service/etopm.aspx,https://www.paynow.com.tw/service/etopm.aspx,請至後台申請,請至後台申請,請至後台申請,application/json (現代) / x-www-form-urlencoded (傳統),雙 API 並行 | Stripe-like 現代 | Apple Pay 完整 | 票券系統,small,Hybrid (傳統 + 現代)
shopline,Shopline Payments,merchantId + apiKey HTTP Header,Header 認證 + HMAC-SHA256 Webhook,https://sandbox-payments-api.shoplineapp.com,https://payments-api.shoplineapp.com,請至後台申請,請至後台申請,,application/json,SHOPLINE 集團 | RESTful JSON | 金額以分為單位 | Redirect+SDK 雙模式 | TWD only,medium,RESTful JSON
linepay,LINE Pay v4,Channel ID + Channel Secret,HMAC-SHA256 簽章 (X-LINE-Authorization-Nonce + Signature),https://sandbox-api-pay.line.me,https://api-pay.line.me,請至 LINE Pay Merchant Center 申請,請至 LINE Pay Merchant Center 申請,,application/json,LINE 生態 | 全球用戶 | 自動扣款 (Preapproved Pay) | 信用卡/帳戶餘額/POINT,large,RESTful JSON
tappay,TapPay,Partner Key + App Key + Merchant ID,Prime → pay-by-prime 兩段式,https://sandbox.tappaysdk.com,https://prod.tappayapis.com,請至 TapPay Portal 申請,請至 TapPay Portal 申請,請至 TapPay Portal 申請,application/json,PCI 隔離 | SDK 取得 Prime 後後端付款 | 信用卡/Apple Pay/Google Pay/LINE Pay/Virtual Account,medium,RESTful JSON
